Id,Year,Kilometers_Driven,Mileage,Engine,Power,Seats,Price,Fuel_Type_CNG,Fuel_Type_Diesel,Fuel_Type_Electric,Fuel_Type_LPG,Fuel_Type_Petrol,Owner_Type_First,Owner_Type_Fourth & Above,Owner_Type_Second,Owner_Type_Third,Mileage_Type_km/kg,Mileage_Type_kmpl,Transmission_Automatic,Transmission_Manual
730,2015,58390,18.88,1995.0,184.0,5.0,19.86,0,1,0,0,0,1,0,0,0,0,1,1,0
731,2017,14000,24.0,1186.0,73.97,5.0,4.9,0,1,0,0,0,1,0,0,0,0,1,0,1
732,2014,55818,17.4,1497.0,117.3,5.0,5.7,0,0,0,0,1,0,0,1,0,0,1,0,1
734,2012,52241,25.2,1248.0,74.0,5.0,2.9,0,1,0,0,0,1,0,0,0,0,1,0,1
735,2018,25433,27.39,1248.0,74.0,5.0,7.83,0,1,0,0,0,1,0,0,0,0,1,0,1
736,2015,40611,14.0,2179.0,138.1,7.0,8.15,0,1,0,0,0,1,0,0,0,0,1,0,1
737,2008,72000,13.2,1495.0,94.0,5.0,2.0,0,0,0,0,1,0,0,1,0,0,1,0,1
738,2016,54631,25.2,1248.0,74.0,5.0,6.25,0,1,0,0,0,1,0,0,0,0,1,0,1
740,2016,24941,21.9,624.0,37.48,4.0,3.19,0,0,0,0,1,1,0,0,0,0,1,1,0
741,2017,63939,25.47,1248.0,88.5,7.0,7.75,0,1,0,0,0,1,0,0,0,0,1,0,1
742,2014,35214,23.1,998.0,67.04,5.0,3.2,0,0,0,0,1,0,0,1,0,0,1,1,0
743,2015,63000,25.2,1248.0,74.0,5.0,4.9,0,1,0,0,0,1,0,0,0,0,1,0,1
744,2012,121377,15.04,1598.0,103.6,5.0,3.8,0,0,0,0,1,1,0,0,0,0,1,0,1
745,2009,100970,15.5,1896.0,105.0,5.0,4.0,0,1,0,0,0,1,0,0,0,0,1,1,0
746,2014,60000,20.7,1496.0,113.98,5.0,23.5,0,1,0,0,0,0,0,1,0,0,1,1,0
747,2008,77650,17.2,1396.0,53.5,5.0,1.15,0,1,0,0,0,1,0,0,0,0,1,0,1
750,2015,18955,18.0,1497.0,117.3,5.0,10.65,0,0,0,0,1,1,0,0,0,0,1,1,0
751,2016,47877,16.36,2179.0,187.7,5.0,35.68,0,1,0,0,0,1,0,0,0,0,1,1,0
752,2017,43368,15.0,2143.0,204.0,5.0,31.94,0,1,0,0,0,1,0,0,0,0,1,1,0
753,2011,73000,18.3,1991.0,147.9,5.0,4.2,0,1,0,0,0,0,0,0,1,0,1,0,1
754,2015,72007,15.1,2179.0,140.0,7.0,9.9,0,1,0,0,0,1,0,0,0,0,1,0,1
755,2014,56778,11.74,1796.0,186.0,5.0,15.46,0,0,0,0,1,1,0,0,0,0,1,1,0
756,2018,20024,18.2,1199.0,88.7,5.0,8.46,0,0,0,0,1,1,0,0,0,0,1,0,1
757,2013,42103,16.78,1496.0,88.73,5.0,3.25,0,0,0,0,1,1,0,0,0,0,1,0,1
758,2012,67147,19.7,796.0,46.3,5.0,2.6,0,0,0,0,1,1,0,0,0,0,1,0,1
759,2016,37806,20.4,1197.0,81.8,5.0,5.2,0,0,0,0,1,1,0,0,0,0,1,0,1
760,2009,85000,19.0,998.0,66.1,5.0,1.8,0,0,0,0,1,0,0,0,1,0,1,0,1
761,2011,35000,25.4,624.0,37.48,4.0,1.6,0,0,0,0,1,1,0,0,0,0,1,0,1
762,2015,72035,25.5,1498.0,99.0,5.0,2.5,0,1,0,0,0,1,0,0,0,0,1,0,1
763,2011,48500,16.0,1368.0,90.0,5.0,2.5,0,0,0,0,1,1,0,0,0,0,1,0,1
764,2017,28854,18.16,1196.0,86.8,5.0,6.7,0,0,0,0,1,1,0,0,0,0,1,0,1
765,2005,92450,15.4,1590.0,94.0,5.0,1.2,0,0,0,0,1,1,0,0,0,0,1,0,1
766,2016,14351,18.88,1995.0,184.0,5.0,35.55,0,1,0,0,0,1,0,0,0,0,1,1,0
767,2017,51087,17.9,1998.0,163.7,5.0,7.75,0,1,0,0,0,1,0,0,0,0,1,0,1
768,2005,50000,12.7,2609.0,116.6,8.0,1.94,0,1,0,0,0,1,0,0,0,0,1,0,1
769,2016,73000,25.0,1396.0,69.0,5.0,2.2,0,1,0,0,0,1,0,0,0,0,1,0,1
770,2011,60000,18.1,1991.0,147.9,4.0,3.8,0,1,0,0,0,1,0,0,0,0,1,1,0
771,2016,50000,12.8,2494.0,102.0,8.0,15.65,0,1,0,0,0,1,0,0,0,0,1,0,1
772,2018,36797,19.27,2143.0,167.62,5.0,39.47,0,1,0,0,0,1,0,0,0,0,1,1,0
773,2011,50000,18.5,1197.0,85.8,5.0,1.5,0,0,0,0,1,0,0,1,0,0,1,0,1
774,2013,94000,12.8,2494.0,102.0,8.0,8.85,0,1,0,0,0,1,0,0,0,0,1,0,1
775,2013,74000,12.55,2982.0,168.5,7.0,17.9,0,1,0,0,0,0,0,1,0,0,1,0,1
776,2014,41016,16.95,1197.0,78.9,5.0,5.08,0,0,0,0,1,0,0,1,0,0,1,1,0
777,2012,67000,22.32,1582.0,126.32,5.0,6.25,0,1,0,0,0,1,0,0,0,0,1,0,1
778,2015,76927,15.73,1968.0,174.33,5.0,22.75,0,1,0,0,0,1,0,0,0,0,1,1,0
779,2010,17088,18.6,1199.0,79.4,5.0,1.46,0,0,0,0,1,1,0,0,0,0,1,0,1
780,2007,112808,17.8,1399.0,68.0,5.0,2.05,0,1,0,0,0,0,0,1,0,0,1,0,1
781,2014,74980,20.0,1399.0,68.0,5.0,4.08,0,1,0,0,0,1,0,0,0,0,1,0,1
782,2014,44600,23.1,998.0,67.04,5.0,4.55,0,0,0,0,1,1,0,0,0,0,1,1,0
783,2013,37000,20.0,2143.0,107.3,5.0,14.0,0,1,0,0,0,1,0,0,0,0,1,1,0
784,2016,21000,15.8,1591.0,121.3,5.0,10.9,0,0,0,0,1,1,0,0,0,0,1,0,1
785,2010,81245,18.9,998.0,67.1,5.0,2.45,0,0,0,0,1,1,0,0,0,0,1,0,1
786,2013,70000,10.0,2148.0,170.0,5.0,15.8,0,1,0,0,0,1,0,0,0,0,1,1,0
787,2017,4018,18.88,1499.0,110.4,5.0,8.25,0,0,0,0,1,1,0,0,0,0,1,0,1
788,2013,70000,13.73,1995.0,148.0,5.0,8.5,0,1,0,0,0,0,0,1,0,0,1,1,0
789,2016,56532,16.0,2179.0,140.0,7.0,15.54,0,1,0,0,0,1,0,0,0,0,1,0,1
790,2013,26875,16.8,796.0,34.2,8.0,2.35,0,0,0,0,1,1,0,0,0,0,1,0,1
791,2015,72599,22.5,998.0,67.04,5.0,4.32,0,0,0,0,1,1,0,0,0,0,1,0,1
792,2008,205000,13.1,2499.0,141.0,7.0,3.9,0,1,0,0,0,0,0,1,0,0,1,0,1
793,2011,98000,22.32,1582.0,126.32,5.0,5.2,0,1,0,0,0,0,0,1,0,0,1,0,1
794,2018,19500,18.6,1197.0,81.83,5.0,5.85,0,0,0,0,1,1,0,0,0,0,1,0,1
795,2013,68000,16.02,1373.0,93.7,7.0,6.25,0,0,0,0,1,0,0,1,0,0,1,0,1
796,2019,19654,14.0,2179.0,155.0,7.0,17.63,0,1,0,0,0,1,0,0,0,0,1,1,0
797,2017,26000,23.65,1248.0,88.5,5.0,9.75,0,1,0,0,0,1,0,0,0,0,1,0,1
798,2015,10000,18.1,3498.0,306.0,2.0,55.0,0,0,0,0,1,1,0,0,0,0,1,1,0
799,2011,75020,22.07,1199.0,73.9,5.0,4.1,0,1,0,0,0,1,0,0,0,0,1,0,1
800,2011,157000,12.55,2982.0,168.5,7.0,11.99,0,1,0,0,0,1,0,0,0,0,1,0,1
801,2017,43773,16.0,2179.0,140.0,7.0,13.54,0,1,0,0,0,1,0,0,0,0,1,0,1
802,2016,21000,17.9,2143.0,201.15,5.0,56.0,0,1,0,0,0,1,0,0,0,0,1,1,0
803,2016,23280,18.7,1199.0,88.7,5.0,6.5,0,0,0,0,1,1,0,0,0,0,1,0,1
804,2013,88000,23.4,1248.0,74.0,5.0,4.75,0,1,0,0,0,1,0,0,0,0,1,0,1
805,2014,67000,17.01,1591.0,121.3,5.0,5.6,0,0,0,0,1,1,0,0,0,0,1,0,1
806,2017,59636,10.91,3198.0,197.0,7.0,29.2,0,1,0,0,0,1,0,0,0,0,1,1,0
807,2018,11000,18.6,1197.0,81.83,5.0,6.35,0,0,0,0,1,1,0,0,0,0,1,0,1
808,2013,60669,16.8,1497.0,116.3,5.0,4.95,0,0,0,0,1,1,0,0,0,0,1,0,1
809,2018,12000,27.4,1498.0,98.6,5.0,8.5,0,1,0,0,0,1,0,0,0,0,1,0,1
810,2013,35000,17.1,1591.0,121.3,5.0,4.5,0,0,0,0,1,1,0,0,0,0,1,0,1
811,2015,65000,24.2,1498.0,98.6,7.0,5.5,0,1,0,0,0,1,0,0,0,0,1,0,1
812,2013,39929,20.77,1248.0,88.8,7.0,6.56,0,1,0,0,0,1,0,0,0,0,1,0,1
813,2014,49000,24.07,998.0,67.1,5.0,2.3,0,0,0,0,1,1,0,0,0,0,1,0,1
814,2004,77757,13.1,2446.0,75.0,10.0,3.5,0,1,0,0,0,0,0,1,0,0,1,0,1
815,2016,21456,20.36,1197.0,78.9,5.0,4.55,0,0,0,0,1,1,0,0,0,0,1,0,1
816,2009,74000,17.0,1896.0,105.0,5.0,7.75,0,1,0,0,0,0,0,1,0,0,1,1,0
817,2015,37000,18.6,1197.0,81.83,5.0,5.25,0,0,0,0,1,0,0,1,0,0,1,0,1
818,2013,108640,11.5,2993.0,235.0,5.0,23.29,0,1,0,0,0,1,0,0,0,0,1,1,0
819,2016,38000,22.69,1995.0,190.0,5.0,23.99,0,1,0,0,0,1,0,0,0,0,1,1,0
820,2010,80000,14.49,1399.0,92.7,5.0,1.79,0,0,0,0,1,1,0,0,0,0,1,0,1
821,2011,47000,14.21,2143.0,203.0,5.0,13.9,0,1,0,0,0,0,0,1,0,0,1,1,0
822,2013,31000,17.68,1968.0,174.33,5.0,18.95,0,1,0,0,0,1,0,0,0,0,1,1,0
823,2014,40000,20.51,998.0,67.04,5.0,2.49,0,0,0,0,1,1,0,0,0,0,1,0,1
824,2016,4152,25.17,799.0,53.3,5.0,3.15,0,0,0,0,1,1,0,0,0,0,1,0,1
825,2017,51000,21.66,1498.0,108.62,5.0,6.45,0,1,0,0,0,1,0,0,0,0,1,0,1
826,2013,55000,22.07,1199.0,73.9,5.0,4.25,0,1,0,0,0,1,0,0,0,0,1,0,1
827,2014,58500,22.74,796.0,47.3,5.0,2.75,0,0,0,0,1,1,0,0,0,0,1,0,1
828,2017,58620,18.6,1197.0,81.83,5.0,7.14,0,0,0,0,1,1,0,0,0,0,1,0,1
830,2012,71172,17.0,1197.0,80.0,5.0,3.5,0,0,0,0,1,0,0,0,1,0,1,0,1
831,2017,12000,22.54,1396.0,88.73,5.0,7.3,0,1,0,0,0,1,0,0,0,0,1,0,1
832,2014,25000,20.51,998.0,67.04,5.0,2.75,0,0,0,0,1,1,0,0,0,0,1,0,1
833,2017,43000,22.54,1396.0,88.73,5.0,8.2,0,1,0,0,0,0,0,1,0,0,1,0,1
834,2015,57022,17.21,1197.0,103.6,5.0,6.51,0,0,0,0,1,1,0,0,0,0,1,1,0
835,2015,92000,20.0,1399.0,68.05,5.0,4.25,0,1,0,0,0,1,0,0,0,0,1,0,1
836,2014,33372,18.6,1197.0,85.8,5.0,6.21,0,0,0,0,1,0,0,1,0,0,1,0,1
837,2016,52625,24.0,1120.0,70.0,5.0,4.58,0,1,0,0,0,1,0,0,0,0,1,0,1
838,2016,215000,14.02,2179.0,118.3,7.0,7.5,0,1,0,0,0,1,0,0,0,0,1,0,1
839,2012,65537,26.83,796.0,38.4,5.0,2.1,1,0,0,0,0,1,0,0,0,1,0,0,1
840,2014,60138,19.81,1086.0,68.05,5.0,4.09,0,0,0,0,1,1,0,0,0,0,1,0,1
841,2014,84000,19.3,1968.0,141.0,5.0,10.75,0,1,0,0,0,1,0,0,0,0,1,1,0
842,2014,47000,15.97,2993.0,258.0,7.0,41.5,0,1,0,0,0,1,0,0,0,0,1,1,0
843,2014,33450,23.1,998.0,67.04,5.0,4.4,0,0,0,0,1,1,0,0,0,0,1,1,0
844,2013,125000,20.54,1598.0,103.6,5.0,6.25,0,1,0,0,0,0,0,1,0,0,1,0,1
845,2011,99606,16.07,1995.0,181.0,5.0,10.5,0,1,0,0,0,0,0,1,0,0,1,1,0
846,2014,64000,20.77,1248.0,88.8,7.0,7.25,0,1,0,0,0,1,0,0,0,0,1,0,1
847,2013,51000,20.0,1399.0,68.05,5.0,3.2,0,1,0,0,0,1,0,0,0,0,1,0,1
848,2014,57000,16.47,1198.0,74.0,5.0,3.95,0,0,0,0,1,1,0,0,0,0,1,0,1
849,2009,48040,16.77,2967.0,241.38,5.0,12.07,0,1,0,0,0,0,0,1,0,0,1,1,0
850,2017,43200,13.68,2393.0,147.8,7.0,18.6,0,1,0,0,0,1,0,0,0,0,1,0,1
851,2013,66000,22.32,1582.0,126.3,5.0,5.7,0,1,0,0,0,1,0,0,0,0,1,1,0
852,2013,31000,17.92,1086.0,62.1,5.0,1.75,0,0,0,0,1,1,0,0,0,0,1,0,1
853,2011,46000,16.55,1968.0,147.51,5.0,10.99,0,1,0,0,0,0,0,1,0,0,1,1,0
854,2012,47346,16.55,1968.0,147.51,5.0,14.5,0,1,0,0,0,1,0,0,0,0,1,1,0
855,2009,100000,17.0,1896.0,105.0,5.0,3.11,0,1,0,0,0,1,0,0,0,0,1,0,1
856,2015,63856,13.7,1997.0,153.86,5.0,13.96,0,0,0,0,1,1,0,0,0,0,1,1,0
857,2015,72996,22.32,1582.0,126.32,5.0,7.11,0,1,0,0,0,1,0,0,0,0,1,0,1
858,2014,23000,24.5,1498.0,98.6,7.0,6.9,0,1,0,0,0,1,0,0,0,0,1,0,1
859,2018,15985,18.6,1197.0,81.83,5.0,7.77,0,0,0,0,1,1,0,0,0,0,1,0,1
860,2011,98000,12.8,2494.0,102.0,8.0,5.5,0,1,0,0,0,0,0,1,0,0,1,0,1
861,2014,70089,18.6,1197.0,81.83,5.0,5.35,0,0,0,0,1,1,0,0,0,0,1,0,1
862,2011,99000,13.6,2523.0,63.0,7.0,4.5,0,1,0,0,0,0,0,1,0,0,1,0,1
863,2014,72000,20.34,1498.0,103.2,5.0,4.75,0,1,0,0,0,1,0,0,0,0,1,0,1
864,2015,44194,16.36,2179.0,187.7,5.0,32.8,0,1,0,0,0,1,0,0,0,0,1,1,0
865,2005,102000,17.3,993.0,60.0,5.0,0.7,0,0,0,0,1,1,0,0,0,0,1,0,1
866,2018,56652,13.0,2987.0,258.0,5.0,50.29,0,1,0,0,0,1,0,0,0,0,1,1,0
867,2010,41650,11.5,2982.0,171.0,7.0,10.99,0,1,0,0,0,0,0,1,0,0,1,0,1
868,2015,61717,18.9,1197.0,82.0,5.0,5.57,0,0,0,0,1,1,0,0,0,0,1,1,0
869,2018,25302,25.4,1186.0,73.97,5.0,5.9,0,1,0,0,0,1,0,0,0,0,1,0,1
870,2016,47016,15.29,1591.0,121.3,5.0,9.43,0,0,0,0,1,1,0,0,0,0,1,0,1
871,2010,69000,20.36,1197.0,78.9,5.0,2.9,0,0,0,0,1,1,0,0,0,0,1,0,1
872,2016,32700,19.4,1198.0,86.8,5.0,3.68,0,0,0,0,1,1,0,0,0,0,1,0,1
873,2015,101337,12.55,2982.0,168.5,7.0,21.67,0,1,0,0,0,1,0,0,0,0,1,1,0
874,2011,59000,16.55,1968.0,140.0,5.0,12.5,0,1,0,0,0,1,0,0,0,0,1,1,0
875,2018,41736,11.36,2755.0,171.5,7.0,19.92,0,1,0,0,0,1,0,0,0,0,1,1,0
876,2014,71649,25.1,1498.0,98.6,5.0,6.75,0,1,0,0,0,1,0,0,0,0,1,0,1
877,2015,80606,25.1,1498.0,98.6,5.0,6.96,0,1,0,0,0,1,0,0,0,0,1,0,1
878,2017,63262,21.7,999.0,67.0,5.0,3.25,0,0,0,0,1,1,0,0,0,0,1,0,1
879,2018,5456,28.4,1248.0,74.0,5.0,8.65,0,1,0,0,0,1,0,0,0,0,1,0,1
880,2017,7500,23.1,998.0,67.04,5.0,5.0,0,0,0,0,1,1,0,0,0,0,1,1,0
881,2011,66000,15.1,2179.0,140.0,7.0,5.5,0,1,0,0,0,1,0,0,0,0,1,0,1
882,2010,66770,20.36,1197.0,78.9,5.0,2.6,0,0,0,0,1,0,0,1,0,0,1,0,1
883,2014,58472,19.81,1086.0,68.05,5.0,3.41,0,0,0,0,1,1,0,0,0,0,1,0,1
884,2011,46687,22.0,1197.0,81.8,5.0,2.7,0,0,0,0,1,1,0,0,0,0,1,0,1
885,2008,77000,9.7,1995.0,163.5,5.0,5.5,0,0,0,0,1,0,1,0,0,0,1,1,0
886,2012,7000,14.33,1984.0,226.6,4.0,35.0,0,0,0,0,1,1,0,0,0,0,1,1,0
887,2011,48000,14.74,1991.0,184.0,5.0,9.75,0,0,0,0,1,0,0,1,0,0,1,1,0
888,2013,47000,21.64,1461.0,84.8,5.0,4.25,0,1,0,0,0,1,0,0,0,0,1,0,1
889,2015,51530,18.9,998.0,67.1,5.0,3.2,0,0,0,0,1,1,0,0,0,0,1,0,1
890,2014,25789,23.4,1248.0,74.0,5.0,6.85,0,1,0,0,0,0,0,1,0,0,1,0,1
891,2015,48000,25.8,1498.0,98.6,5.0,4.5,0,1,0,0,0,1,0,0,0,0,1,0,1
892,2012,52000,28.4,1248.0,74.0,5.0,3.55,0,1,0,0,0,1,0,0,0,0,1,0,1
893,2010,95637,13.2,1495.0,93.7,5.0,1.9,1,0,0,0,0,0,0,1,0,1,0,0,1
894,2008,131000,10.5,2609.0,120.0,7.0,3.6,0,1,0,0,0,1,0,0,0,0,1,0,1
895,2015,42076,13.0,2143.0,201.1,5.0,21.8,0,1,0,0,0,1,0,0,0,0,1,1,0
896,2012,76000,13.0,2982.0,168.5,7.0,13.5,0,1,0,0,0,0,0,1,0,0,1,0,1
897,2016,20487,22.7,799.0,53.64,5.0,2.66,0,0,0,0,1,1,0,0,0,0,1,0,1
898,2010,43000,16.8,1497.0,116.3,5.0,3.75,0,0,0,0,1,0,0,1,0,0,1,0,1
899,2018,17000,19.16,2494.0,158.2,5.0,32.0,0,0,0,0,1,1,0,0,0,0,1,1,0
900,2016,60805,26.0,1498.0,98.6,5.0,8.07,0,1,0,0,0,1,0,0,0,0,1,0,1
901,2012,58775,19.33,1968.0,138.1,5.0,5.64,0,1,0,0,0,1,0,0,0,0,1,0,1
902,2013,70181,17.68,1968.0,174.33,5.0,23.99,0,1,0,0,0,1,0,0,0,0,1,1,0
903,2016,85827,20.77,1248.0,88.76,7.0,7.5,0,1,0,0,0,1,0,0,0,0,1,0,1
904,2016,58205,19.27,2143.0,167.62,5.0,27.0,0,1,0,0,0,1,0,0,0,0,1,1,0
905,2008,91000,19.3,1248.0,73.9,5.0,2.85,0,1,0,0,0,0,0,1,0,0,1,0,1
906,2012,74000,19.01,1461.0,108.45,5.0,6.35,0,1,0,0,0,1,0,0,0,0,1,0,1
907,2010,79324,21.1,1248.0,73.9,5.0,3.3,0,1,0,0,0,1,0,0,0,0,1,0,1
908,2013,38623,19.1,1197.0,85.8,5.0,5.0,0,0,0,0,1,1,0,0,0,0,1,0,1
909,2014,59923,22.9,1248.0,74.0,5.0,6.46,0,1,0,0,0,1,0,0,0,0,1,0,1
910,2017,23360,21.1,814.0,55.2,5.0,3.75,0,0,0,0,1,1,0,0,0,0,1,0,1
911,2003,61495,17.3,993.0,60.0,5.0,1.52,0,0,0,0,1,0,0,0,1,0,1,0,1
912,2012,56661,15.1,1196.0,73.0,7.0,3.61,0,0,0,0,1,1,0,0,0,0,1,0,1
913,2017,40318,14.16,1968.0,174.3,5.0,43.74,0,1,0,0,0,1,0,0,0,0,1,1,0
914,2014,60000,15.73,1968.0,174.33,5.0,20.0,0,1,0,0,0,1,0,0,0,0,1,1,0
916,2010,130000,19.3,1248.0,73.9,5.0,3.65,0,1,0,0,0,1,0,0,0,0,1,0,1
917,2013,20000,14.07,1978.0,83.1,10.0,5.25,0,1,0,0,0,1,0,0,0,0,1,0,1
918,2016,76000,15.97,2993.0,258.0,7.0,58.0,0,1,0,0,0,1,0,0,0,0,1,1,0
919,2015,30000,18.0,1497.0,117.3,5.0,8.65,0,0,0,0,1,1,0,0,0,0,1,1,0
920,2015,150000,25.0,1396.0,69.01,5.0,2.5,0,1,0,0,0,1,0,0,0,0,1,0,1
921,2014,28000,16.93,1197.0,103.6,5.0,7.75,0,0,0,0,1,1,0,0,0,0,1,1,0
922,2015,74000,23.1,998.0,67.04,5.0,4.15,0,0,0,0,1,1,0,0,0,0,1,0,1
923,2011,75000,11.5,2982.0,171.0,7.0,10.85,0,1,0,0,0,1,0,0,0,0,1,0,1
924,2010,76000,11.3,2360.0,170.0,5.0,5.53,0,0,0,0,1,0,0,1,0,0,1,1,0
925,2014,64889,15.5,1896.0,105.0,5.0,11.5,0,1,0,0,0,1,0,0,0,0,1,1,0
927,2015,43000,19.67,1582.0,126.2,5.0,9.25,0,1,0,0,0,1,0,0,0,0,1,0,1
928,2011,47490,17.5,1198.0,75.0,5.0,2.29,0,0,0,0,1,1,0,0,0,0,1,0,1
929,2015,80000,22.77,1498.0,98.59,5.0,7.0,0,1,0,0,0,1,0,0,0,0,1,0,1
930,2007,60000,18.2,1061.0,64.0,5.0,1.65,0,0,0,0,1,0,0,1,0,0,1,0,1
931,2017,6006,20.73,1373.0,91.1,5.0,8.25,0,0,0,0,1,1,0,0,0,0,1,0,1
932,2011,71703,14.74,1991.0,181.03,5.0,9.14,0,0,0,0,1,1,0,0,0,0,1,1,0
933,2016,33000,17.8,1198.0,86.7,5.0,6.5,0,0,0,0,1,1,0,0,0,0,1,0,1
935,2015,91000,19.87,1461.0,83.8,5.0,5.75,0,1,0,0,0,1,0,0,0,0,1,0,1
936,2012,72000,26.2,998.0,58.2,5.0,2.85,0,0,0,1,0,1,0,0,0,1,0,0,1
937,2011,43000,16.47,1198.0,73.9,5.0,2.1,0,0,0,0,1,0,0,1,0,0,1,0,1
938,2017,63770,19.67,1582.0,126.2,5.0,13.55,0,1,0,0,0,1,0,0,0,0,1,0,1
939,2012,43510,14.74,2993.0,270.9,5.0,20.5,0,1,0,0,0,1,0,0,0,0,1,1,0
940,2017,52000,16.3,1956.0,170.0,5.0,20.0,0,1,0,0,0,1,0,0,0,0,1,0,1
941,2018,31427,15.68,1999.0,177.0,5.0,59.72,0,1,0,0,0,1,0,0,0,0,1,1,0
942,2016,29000,27.39,1248.0,74.0,5.0,6.5,0,1,0,0,0,1,0,0,0,0,1,0,1
943,2016,56000,28.09,1248.0,88.5,5.0,7.5,0,1,0,0,0,1,0,0,0,0,1,0,1
944,2007,76000,15.0,1586.0,104.68,5.0,2.15,0,0,0,0,1,0,0,1,0,0,1,0,1
945,2015,53615,22.7,1582.0,126.24,5.0,8.44,0,1,0,0,0,1,0,0,0,0,1,0,1
946,2013,132000,13.5,2477.0,175.56,7.0,12.49,0,1,0,0,0,1,0,0,0,0,1,0,1
947,2017,14800,17.0,1198.0,73.75,5.0,5.48,0,0,0,0,1,1,0,0,0,0,1,0,1
948,2013,35433,18.5,1197.0,85.8,5.0,4.2,0,0,0,0,1,1,0,0,0,0,1,0,1
949,2013,82966,16.8,1493.0,110.0,5.0,7.2,0,1,0,0,0,1,0,0,0,0,1,0,1
950,2014,96000,23.4,1248.0,74.0,5.0,4.8,0,1,0,0,0,1,0,0,0,0,1,0,1
951,2017,39528,25.32,1198.0,77.0,6.0,5.83,0,1,0,0,0,1,0,0,0,0,1,0,1
952,2018,92056,13.68,2393.0,147.8,7.0,18.39,0,1,0,0,0,1,0,0,0,0,1,0,1
953,2016,14930,21.4,1197.0,83.1,5.0,5.85,0,0,0,0,1,1,0,0,0,0,1,0,1
954,2016,38000,27.3,1498.0,98.6,5.0,6.21,0,1,0,0,0,1,0,0,0,0,1,0,1
955,2013,71000,17.0,1197.0,80.0,5.0,3.65,0,0,0,0,1,1,0,0,0,0,1,0,1
956,2012,71000,23.0,1396.0,90.0,5.0,3.7,0,1,0,0,0,1,0,0,0,0,1,0,1
957,2015,50000,19.27,2143.0,167.62,5.0,30.0,0,1,0,0,0,1,0,0,0,0,1,1,0
958,2016,48163,19.1,1197.0,82.0,5.0,4.85,0,0,0,0,1,1,0,0,0,0,1,0,1
959,2017,19168,18.9,1197.0,82.0,5.0,6.93,0,0,0,0,1,1,0,0,0,0,1,1,0
960,2016,26000,22.74,796.0,47.3,5.0,2.6,0,0,0,0,1,1,0,0,0,0,1,0,1
961,2014,37400,18.2,1199.0,82.5,5.0,1.89,0,0,0,0,1,1,0,0,0,0,1,0,1
962,2018,8682,0.0,1950.0,194.0,5.0,39.5,0,1,0,0,0,1,0,0,0,0,1,1,0
963,2012,95000,13.7,1798.0,157.75,5.0,10.0,0,0,0,0,1,1,0,0,0,0,1,1,0
964,2009,34000,16.55,1968.0,147.51,5.0,9.95,0,1,0,0,0,1,0,0,0,0,1,1,0
965,2014,95000,12.8,2494.0,102.0,8.0,9.45,0,1,0,0,0,0,0,1,0,0,1,0,1
966,2017,13689,17.9,2143.0,136.0,5.0,28.25,0,1,0,0,0,1,0,0,0,0,1,1,0
967,2008,84000,19.81,1086.0,68.05,5.0,1.8,0,0,0,0,1,0,0,1,0,0,1,0,1
968,2008,47000,17.5,1298.0,85.8,5.0,1.4,0,0,0,0,1,0,0,1,0,0,1,0,1
969,2015,60001,21.66,1498.0,103.52,5.0,7.25,0,1,0,0,0,1,0,0,0,0,1,1,0
970,2012,96000,21.1,1248.0,73.9,5.0,3.6,0,1,0,0,0,1,0,0,0,0,1,0,1
971,2004,47300,14.4,1599.0,94.0,5.0,1.2,0,0,0,0,1,0,0,1,0,0,1,0,1
972,2014,28246,17.8,1198.0,86.7,5.0,4.94,0,0,0,0,1,0,0,1,0,0,1,0,1
973,2007,65000,18.9,998.0,67.1,5.0,1.25,0,0,0,0,1,0,0,1,0,0,1,0,1
974,2013,68000,22.07,1199.0,73.9,5.0,4.8,0,1,0,0,0,0,0,1,0,0,1,0,1
975,2019,11209,12.62,2198.0,158.0,7.0,31.15,0,1,0,0,0,1,0,0,0,0,1,1,0
976,2011,41980,17.0,1197.0,80.0,5.0,3.3,0,0,0,0,1,0,0,1,0,0,1,0,1
977,2012,65000,25.44,936.0,57.6,5.0,2.4,0,1,0,0,0,1,0,0,0,0,1,0,1
978,2010,38000,14.8,1799.0,130.2,5.0,2.0,0,0,0,0,1,1,0,0,0,0,1,0,1
979,2014,51000,20.51,998.0,67.04,5.0,3.1,0,0,0,0,1,1,0,0,0,0,1,0,1
980,2014,33855,15.0,1598.0,103.6,5.0,5.09,0,0,0,0,1,1,0,0,0,0,1,0,1
981,2006,146000,15.4,1590.0,94.0,5.0,1.05,0,0,0,0,1,0,0,1,0,0,1,0,1
982,2015,47037,22.77,1498.0,98.59,5.0,7.0,0,1,0,0,0,0,0,1,0,0,1,0,1
983,2010,58000,13.2,1495.0,94.0,5.0,2.5,0,0,0,0,1,0,0,1,0,0,1,0,1
984,2012,61240,22.48,1995.0,190.0,5.0,17.5,0,1,0,0,0,1,0,0,0,0,1,1,0
985,2011,91211,20.92,998.0,67.1,5.0,2.1,0,0,0,0,1,1,0,0,0,0,1,0,1
986,2013,84000,15.73,1968.0,174.33,5.0,17.75,0,1,0,0,0,1,0,0,0,0,1,1,0
987,2008,64226,17.3,1061.0,57.5,5.0,1.45,0,0,0,1,0,1,0,0,0,1,0,0,1
988,2005,67000,11.3,1794.0,125.0,5.0,2.45,0,0,0,0,1,0,0,1,0,0,1,1,0
